Name,Station or Publication,Date Used,Year,Month,Location,Program?,Program Content,Source,RTC,Graphic Used,Logged By,RT,TW,FB,Other Social Media,Online Article,How was it found first?,MW,On Air,Time of Airing,On Air,Time of Airings,How was TV Found?,IQ Graphic Notes,Audience Size,Publicity Value,Connects to Climate Change on Air?,Total CC Hits,Total CM Hits,Total CMN Hits,Spanish?,Download?,Comments,Link to online content,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Nord,WUSA/CBS,9/23/20,2020,September,DC,CM,2016CoastalFloodDays,CM,,2016CoastalFloodDays_Bars,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/SeanSublette/status/1308745385297485825/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Nord,WUSA/CBS,9/24/20,2020,September,DC,CM,2020HurricanesII,CM,,2020Hurricanes_OceanT,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/ClimateCentral/status/1309153116797820928/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melissa Ross,WJCT/NPR,9/11/20,2020,September,FL,CMN,2020FallPackage,CMN,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,1,,,CM mentioned with history,https://twitter.com/WJCTNews/status/1304502080481222657/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meredith Garofalo,WeatherNation,9/26/20,2020,September,CO,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,The World's Littlest Book on Climate,https://twitter.com/MikeNelson247/status/1309898473915912193/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Ehrenberg,WPEC/CBS,9/25/20,2020,September,FL,CM,2020HurricanesII,CM,,"2020Hurricanes_OceanT, 2020Hurricanes_US",Lisa,0,0,0,0,0,,,0,,1,3:53 PM,IQ,Found,23072,240,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Sol Warren and Chris Wohlforth,NJ Advance Media,9/27/20,2020,September,NJ,CM,2020HeatAndSeniors,"CM,PJ",,2020HeatAndSeniors,Kristie,0,1,0,0,1,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://www.nj.com/news/2020/09/as-njs-summers-intensify-how-racism-turned-up-the-heat-on-states-most-vulnerable.html,https://twitter.com/MSolDub/status/1310291836209164288,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mihaela Manova,Loveland Magazine,9/1/20,2020,September,OH,,THE BURNING SOLUTION: Prescribed Burns Unevenly Applied Across U.S.,CC,,,Kristie,0,0,0,0,1,Google Alert,,0,,0,,,,,,,1,0,0,,,,https://www.lovelandmagazine.com/why-californias-wildfires-are-getting-worse-covering-climate-now/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Augustyniak,WCCO/CBS,9/9/20,2020,September,MN,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,0,,,0,,1,12:21 PM,Email,Lost,93609,912,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Augustyniak,WCCO/CBS,9/12/20,2020,September,MN,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,0,,,0,,1,8:16 AM,IQ,Found,50881,953,Y,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Buresh,WJAX/CBS,9/7/20,2020,September,FL,CM,2020FallPackage,CM,,2020FallPackage_Map,"Lisa, Kristie",0,1,0,0,2,Google Alert,,0,,0,,,,,,,3,3,0,,,,https://www.actionnewsjax.com/weather/buresh/buresh-blog-slipping-into-fall-national-preparedness-month/AA53JSVL7JDLFLVOD6ONNMFCZQ/,https://twitter.com/MikeFirstAlert/status/1303310661842239488,https://www.newsbreak.com/news/2056179536743/buresh-blog-slipping-into-fall-national-preparedness-month-september-night-skies,,,,,,,,,,,,,,,,,,,,,,,,,,
,WJAX/CBS,9/7/20,2020,September,FL,CM,2020FallPackage,CM,,,Kristie,1,0,0,0,0,Google Alert,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/MikeFirstAlert/status/1303310661842239488/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Buresh,WJAX/CBS,9/17/20,2020,September,FL,CM,2020Records,CM,,"2020Records, 2020Records_Map",Kristie,0,1,0,0,1,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/MikeFirstAlert/status/1306721005398827009,https://www.actionnewsjax.com/weather/buresh/buresh-blog-tropics-remain-topic-its-official-la-nina-wet-wet-season-hot-summer/ZCRKS2PIE5CD7APXATLN23MN6Y/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Favetta,News12/Cable,9/15/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,1,Broad search,,0,,0,,,,,,,1,1,0,,,,https://www.ny1.com/nyc/all-boroughs/weather/2020/09/15/wildfire-smoke-reaches-new-york-city-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Nelson,KMGH/ABC,9/10/20,2020,September,CO,CM,"2020DaysAbove, 2020WesternWildfires, 2020SmokeWaves",CM,,"2020DaysAbove, 2020Wildfire_AcresBurned, 2020SmokeWaves_Map",Lisa,0,0,0,0,0,,,0,,2,10:05pm on 10th; 4:35am on 11th,IQ,Found,76961,3657,Y,2,2,0,,Done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Nelson,KMGH/ABC,9/17/20,2020,September,CO,CM,,CC,,,Kristie,0,4,0,0,0,TweetDeck,,0,,0,,,,,,,4,0,0,,,,https://twitter.com/MikeNelson247/status/1306422009916796928,https://twitter.com/MikeNelson247/status/1306421423905349632,https://twitter.com/MikeNelson247/status/1306418909545988097,https://twitter.com/MikeNelson247/status/1306416609674887168,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Nelson,KMGH/ABC,9/17/20,2020,September,CO,CM,2020SmokeWaves,CM,,2017WildfireAirQuality,Lisa,0,0,0,0,0,,,0,,1,5:22 PM,IQ,Lost,72221,1506,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Nelson,KMGH/ABC,9/26/20,2020,September,CO,CM,,CC,,,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,0,0,,,The World's Littlest Book on Climate,https://twitter.com/MikeNelson247/status/1309898473915912193,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Rawlins,NBC/NBC,9/22/20,2020,September,NY,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,Mason4C and Yale Climate Comm. meterologist/climate change survey,https://twitter.com/SeanSublette/status/1308456964310159361/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Slifer,WCSH/NBC,9/2/20,2020,September,ME,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove",Kristie,0,1,1,0,0,TweetDeck,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/MikeSliferWX/status/1301172742893506563,https://www.facebook.com/MikeSliferWX/posts/1032664687163784?__cft__[0]=AZXOomGthyxs_j41p9nMxKuDqzYFIoEzoxvRUN2KkDS7lbWbe8aBPGhi2DXNSPSoYOueHVZd8z61N02nCtu3E3sdLG8Bqxd92cMewVGJxSr7iebkSqYp5mADMbJoY0pNHju5E8axuMTh8-UhV_5cv8Rkj5nSyT5WuZpEY_7dG4JxGA&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WCSH/NBC,9/2/20,2020,September,ME,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove",Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/MikeSliferWX/status/1301172742893506563/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miranda Massie,Climate Museum,9/8/20,2020,September,NY,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/MaibachEd/status/1303347223921557504/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molly Peterson,KQED/NPR,9/14/20,2020,September,CA,CMN,THE BURNING SOLUTION: Prescribed Burns Unevenly Applied Across U.S.,CC,,,Krisite,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/johnupton/status/1305577366652104705/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica Woods,KXTV/ABC,9/6/20,2020,September,CA,CM,2020JulyAugSeptTrend,CM,Y,2020JulyAugSeptTrend_SEPT,Lisa,0,0,0,0,0,,,0,,2,"4:47pm, 8:42pm",IQ,Found,112565,4662,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monica Woods,KXTV/ABC,9/9/20,2020,September,CA,CM,2020WesternWildfires,CM,,2020Wildfire,Lisa,0,0,0,0,0,,,0,,3,"6:52pm, 11:21pm on 9th; 1:28am on 10th",IQ,Found,154828,3898,Y,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Block,Climate Communication,9/8/20,2020,September,CA,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1303385388757717001/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Block,Climate Communication,9/18/20,2020,September,CA,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/MaibachEd/status/1307446030359764994/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Block,Climate Communication,9/23/20,2020,September,CA,CMN,"2020HurricanesII, 2020Hurricanes",CMN,,"2020Hurricanes_OceanT, 2017Hurricanes_Info",Kristie,0,3,0,0,0,TweetDeck,,0,,0,,,,,,,3,3,3,,,,https://twitter.com/moreblock19/status/1308819432572026880,https://twitter.com/moreblock19/status/1308819432572026880,https://twitter.com/moreblock19/status/1308818663009472513,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Palmer,KIRO/CBS,9/16/20,2020,September,WA,CM,2020Records,CM,,,Lisa,0,1,0,0,0,Tag,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/MorganKIRO7/status/1306285714737254400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KIRO/CBS,9/16/20,2020,September,WA,,2020Records,CM,,,Lisa,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/MorganKIRO7/status/1306285714737254400/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Johnson,NBC/NBC,9/1/20,2020,September,NC,CMN,"Rapid Response Workshop: Smoke, Health & Fire",CMN,,,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,1,1,,,,https://twitter.com/nsj/status/1300859399662075904,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Johnson,NBC/NBC,9/15/20,2020,September,NC,CMN,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,Sean guest NWA speaker,https://twitter.com/BernadetteWoods/status/1305871850556321793/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Gunter,WMC/NBC,9/2/20,2020,September,TN,CM,2019Wildfire,CM,,2019Wildfire_Western,Lisa,0,0,0,0,3,Google Alert,MW,0,,0,,,,,,,3,3,0,,,,https://www.wmcactionnews5.com/video/2020/09/02/breakdown-why-heat-is-adding-more-fuel-wildfires/,https://www.newsbreak.com/news/2052838889960/breakdown-why-the-heat-is-adding-more-fuel-to-the-wildfires,https://www.wmcactionnews5.com/2020/09/02/breakdown-why-heat-is-adding-more-fuel-wildfires/,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Gunter,WMC/NBC,9/8/20,2020,September,TN,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map",Lisa,0,0,0,0,3,Google Alert,MW,0,,0,,,,,,Y,3,3,0,,,,https://www.wmcactionnews5.com/video/2020/09/08/breakdown-why-summer-heat-seems-be-lasting-longer/,https://www.wmcactionnews5.com/2020/09/08/breakdown-why-summer-heat-seems-be-lasting-longer/,https://www.newsbreak.com/news/2056629614077/breakdown-why-summer-heat-seems-to-be-lasting-longer,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Lilja,WDAM/NBC,9/9/20,2020,September,MS,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1303722191448608768/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Russo,WWBT/NBC,9/22/20,2020,September,VA,CM,2020HeatStreaks,CM,,2020HeatStreaks,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/SeanSublette/status/1308431516175925248/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole Blanchard,Idaho Statesman,9/13/20,2020,September,ID,,2020WesternWildfires,CM,,"2020Wildfire, 2020Wildfire_TotalAcresBurned",Lisa,1,1,0,0,4,Google Alert,MW,0,,0,,,,,,,6,6,0,,,"Interviewed national expert, Dr John Abatzoglou",https://www.idahostatesman.com/news/local/environment/fires/article245634450.html,https://www.kivitv.com/news/as-the-west-burns-climate-change-has-affected-idaho-too-expect-more-records-to-be-broken,https://magicvalley.com/news/local/as-the-west-burns-climate-change-has-affected-idaho-too-expect-more-records-to-be/article_f728230d-ebc4-5cde-b001-45150056cc7c.html,https://www.newsbreak.com/news/2060382670013/as-the-west-burns-climate-change-has-affected-idaho-too-expect-more-records-to-be-broken,https://twitter.com/NMBlanchard/status/1305161867963162624,https://twitter.com/IdahoStatesman/status/1305091470949576707/retweets,,,,,,,,,,,,,,,,,,,,,,,
,Idaho Statesman,9/13/20,2020,September,ID,,2020WesternWildfires,CM,,,Kristie,1,1,0,0,0,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/NMBlanchard/status/1305161867963162624/retweets,https://twitter.com/IdahoStatesman/status/1305091470949576707,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicole Shih,Depaulia,9/13/20,2020,September,,,2020WesternWildfires,CM,,2020Wildfire,Kristie,0,0,0,0,2,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://depauliaonline.com/50154/nation/california-wildfires-have-burned-over-3-2-million-acres-this-year-experts-say-climate-change-plays-a-role/,https://www.newsbreak.com/news/2060168721966/california-wildfires-have-burned-over-32-million-acres-this-year-experts-say-climate-change-plays-a-role,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Depaulia,9/13/20,2020,September,,,2020WesternWildfires,CM,,,Kristie,0,2,0,0,0,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/TheDePaulia/status/1305657583957540864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Bergren,WPSD/NBC,9/21/20,2020,September,KY,CM,2020Records,CM,,2020Records_Map,Kristie,0,1,0,0,0,TweetDeck,,0,,2,"5:27pm, 10:16pm",Broad search,Station,0,0,,3,3,0,,,Saved on CR under 2020Records,https://twitter.com/NbergWX/status/1308144665854726151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WPSD/NBC,9/21/20,2020,September,KY,CM,2020Records,CM,,2020Records_Map,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/NbergWX/status/1308144665854726151/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Bergren,WPSD/NBC,9/24/20,2020,September,KY,CM,2020ArcticMin,CM,,2020ArcticMin,Kelly,0,0,1,0,0,FB search,,0,,0,,,,,,,1,1,0,,,,https://www.facebook.com/WeatherNoah/photos/a.327533610629386/3238267612889290/?type=3&__xts__%5B0%5D=68.ARDB-p5YQUe_LZlfyJYd_HSCn8-wQEnHK2qMs86ZG4Soa6axU06yariyasB-Gtl4jrkz5nY9mpiiF3yOFeG_tWzAzpPleCpWhq3wATnz0LTvbi_HGDzMXMNJU5cfIhuZKAcTlL_Kgy2z6oYG-xpErkvDSztIAFqeMCkrJFv_Z9PBWnX69ypsOdW6hTwdbVrtv-IIQer4k0MF8UgGLtQl5dw5rssTptPOuYatuIyohTb16zKLXswPN1NPed7xVAwxO6Vrid1AC3XRu7FhXu62IWzhNP3sFUE4up6rfV62vRAFGaI-APlZGjCRRT74HNJwFoX_VLV-SaVfw_ZGr1X3ucGnhQ&__tn__=-R,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozden Terli,ZDF,9/21/20,2020,September,Germany,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1308098552527302658/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozden Terli,ZDF,9/21/20,2020,September,Germany,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1308126616342671360/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozden Terli,ZDF,9/29/20,2020,September,Germany,CM,2020OHW,CM,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/BernadetteWoods/status/1310906784643715072/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pamela D'Angelo,Virginia Public Radio/NPR,9/8/20,2020,September,VA,CMN,Zillow Report,"SLR, CMN",,,"Kelly, Kristie",0,1,0,0,1,Email,,1,Podcast,0,,,,,,,3,3,3,,,,https://www.wvtf.org/post/waters-rise-so-do-some-homes#stream/0,https://twitter.com/PamelaDAngelo1/status/1303308637331480578,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Powell,WLUK/FOX,9/6/20,2020,September,WI,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/BernadetteWoods/status/1302622395170250753/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Deanno,WMAQ/NBC,9/21/20,2020,September,IL,CM,,CC,,,Kristie,0,1,0,0,0,TweetDeck,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/PaulDeannoNBC5/status/1308155543341719557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/3/20,2020,September,MN,CM,2020FallPackage,CM,,"2020FallPackage_DaysAbove, 2020FallPackage_AvgT, 2020FallPackage_Map",Lisa,0,0,0,0,2,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://www.startribune.com/mostly-lake-worthy-into-sunday-but-labor-day-weather-quickly-sours/572314282/,https://www.startribune.com/above-average-holiday-weekend-weather-but-much-cooler-next-week/572300432/,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/10/20,2020,September,MN,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,0,0,2,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://www.startribune.com/meteorological-boomerang-from-record-chill-to-80f-next-week/572367482/,https://insurancenewsnet.com/oarticle/meteorological-boomerang-from-record-chill-to-80f-next-week#.X2TxwWhKh3g,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Minneapolis Star Tribune,9/10/20,2020,September,MN,CM,2020WesternWildfires,CM,,,Kristie,0,2,0,0,0,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/StarTribune/status/1304005151942946817,https://twitter.com/StarTribune/status/1303920888698621952,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/16/20,2020,September,MN,CM,2020Records,CM,,2020Records_Map,Kristie,0,0,0,0,1,Google Alert,,0,,0,,,,,,,1,1,0,,,,https://www.startribune.com/more-late-august-than-mid-september-warming-trend-into-next-week/572437782/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Minneapolis Star Tribune,9/16/20,2020,September,MN,CM,2020Records,CM,,2020Records_Map,Kristie,0,2,0,0,0,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://twitter.com/StarTribune/status/1306454080550850561,https://twitter.com/StarTribune/status/1306536835083010050,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/22/20,2020,September,MN,CM,2020ArcticMin,CM,,2020ArcticMin,Kristie,0,0,0,0,1,Google Alert,,0,,0,,,,,,,1,1,0,,,,https://www.startribune.com/more-late-august-than-late-september-but-big-changes-next-week/572486291/?refresh=true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/23/20,2020,September,MN,CM,2020HurricanesII,CM,,"2020Hurricanes_OceanT, 2020Hurricanes_US, 2020Hurricanes_Global",Kristie,0,0,0,0,2,Google Alert,,0,,0,,,,,,,2,2,0,,,,https://www.startribune.com/shorts-jackets-30-40-degree-temperature-drop-next-week/572514111/,https://www.newsbreak.com/news/2068614156526/shorts-jackets-30-40-degree-temperature-drop-next-week,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/29/20,2020,September,MN,CM,2015EarthDay,CM,,2015EarthDayOceanHeat,Kristie,0,0,0,0,1,Meltwater,,0,,0,,,,,,,1,1,0,,,,https://www.startribune.com/raw-into-saturday-but-60s-and-70s-returning-next-week/572583122/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Douglas,The Minneapolis Star Tribune,9/30/20,2020,September,MN,CM,2020PowerOutages,CM,,"2020PowerOutages_Line, 2020PowerOutages_Map, 2020PowerOutages",Kristie,0,0,0,0,1,Meltwater,,0,,0,,,,,,,1,1,0,,,,"https://www.startribune.com/feels-like-october-out-there-but-milder-days-ahead/572595082/#:~:text=%22Do%20not%20let%20the%20behavior,peace%22%20said%20the%20Dalai%20Lama.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Gross,WDIV/NBC,9/13/20,2020,September,MI,CM,2019Wildfire,CM,,2019Wildfire_Western,Lisa,0,0,0,0,0,,,0,,3,"6:45am, 8:41am on 13th; 5:43am on 14th",IQ,Found,128991,1822,Y,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Gross,WDIV/NBC,9/18/20,2020,September,MI,CM,2020FallPackage,CM,,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map","Lisa, Kristie",0,3,2,1,1,Google Alert,MW,0,,2,"5:42am, 6:45am",IQ,Found,108388,1161,Y,9,9,0,,Done,,https://www.clickondetroit.com/weather/2020/09/18/average-fall-temperatures-in-detroit-up-32-degrees-since-1970/,https://twitter.com/PGLocal4/status/1306922624635863043,https://www.youtube.com/embed/9Mut-TCi_to,https://www.facebook.com/permalink.php?story_fbid=1812827392190124&id=279539455518933,https://twitter.com/Local4Casters/status/1306922625810210816,https://twitter.com/clickondetroit/status/1306924186200309761,https://m.facebook.com/Local4/posts/10159320147716002,,,,,,,,,,,,,,,,,,,,,,
Paul Gross,WDIV/NBC,9/23/20,2020,September,MI,CM,2020HurricanesII,CM,,"2020Hurricanes_OceanT, 2020Hurricanes_Global",Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/JohnMoralesNBC6/status/1308773476778602500/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Gross,WDIV/NBC,9/30/20,2020,September,MI,CM,"2019Wildfire, 2019Rainfall",CM,,"2019Wildfire_Western, 2019Rainfall_1inch, 2019Rainfall_2inch, 2019Rainfall_3inch",Kristie,0,1,0,0,1,TweetDeck,,0,,0,,,,,,,2,2,0,,,used our graphics for debate fact checking,https://www.clickondetroit.com/features/2020/09/30/fact-checking-climate-change-comments-in-first-presidential-debate/,https://twitter.com/PGLocal4/status/1311273895052406784,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Heggen,KPIX/CBS,9/3/20,2020,September,CA,CM,"2020FallPackage, 2019RecordsUpdate",CM,,"2020FallPackage_AvgT, 2019LocalRecords",Kristie,1,0,0,1,0,Repost,,0,,1,5:53 PM,IQ,Found,99233,3463,,3,3,0,,,,https://twitter.com/BernadetteWoods/status/1301893682266767363/retweets,https://www.youtube.com/watch?time_continue=39&v=R2iK8amV7zA&feature=emb_logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Huttner,MPR/NPR,9/15/20,2020,September,MN,CM,2019Wildfire,CC,,,Kristie,0,2,0,0,2,Google Alert,MW,0,,0,,,,,,,4,0,0,,,,https://www.mprnews.org/story/2020/09/15/smoky-skies-wildfire-smoke-plume-over-minnesota-nearly-as-thick-as-western-us-today,https://www.newsbreak.com/news/2061378130620/why-climate-change-is-producing-more-frequent-thick-smoke-over-minnesota,https://twitter.com/MPRweather/status/1305953695243350016,https://twitter.com/MPRweather/status/1305962072166010884,,,,,,,,,,,,,,,,,,,,,,,,,
,MPR/NPR,9/15/20,2020,September,MN,CM,2019Wildfire,CC,,,Kristie,1,1,0,0,0,Google Alert,,0,,0,,,,,,,2,0,0,,,,https://twitter.com/MPRnews/status/1306259800628424705,https://twitter.com/MPRweather/status/1305953695243350016/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Hutter and Megan Burks,MPR/NPR,9/18/20,2020,September,,,2019Wildfire,CM,,,Kristie,0,0,0,0,2,Meltwater,,0,,0,,,,,,,2,2,0,,,,https://www.mprnews.org/episode/2020/09/18/fighting-fires-on-the-front-line-of-climate-change,https://www.newsbreak.com/nebraska/chadron/news/2065094764893/it-was-angry-in-the-way-it-gobbled-up-the-ground-fighting-fires-on-the-front-line-of-climate-change,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MPR/NPR,9/18/20,2020,September,,,2019Wildfire,CM,,,Kristie,0,1,0,0,0,Meltwater,,0,,0,,,,,,,1,1,0,,,,https://twitter.com/MPRnews/status/1307043150033289220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Montoro,WNJU/Telemundo,9/9/20,2020,September,NY,CM,2020WesternWildfires,CM,,2020Wildfire_TotalAcresBurned,Lisa,0,0,1,0,1,On air,,0,,1,5:48 PM,Broad search,Lost,150365,2401,Y,3,3,0,,,,https://www.telemundo47.com/local/incendios-forestales-que-condiciones-en-los-bosques-genera-esta-catastrofe/2093928/?fbclid=IwAR0gYRamJ-tLPOdbAks38LQjCRCcw4TVv_g4PAhjYBJJWW4XuxRnB8FAWPI,https://www.facebook.com/pedromt47/posts/752382478667603?__cft__[0]=AZULFjOHs4iNMivycfRH2LDct67SAx8f5vuPI4xHTbXjS8SPdRV5ql6nND84rpdL-4ebbUNBioRfVAFG_WWQR5hnBmXzEwXlLClmHbc16AwY5hWWoH8X4WUB5rFgfWz10Leo4TDOE_zl4x9oFCJA0rQ1r8GPm5PmY9WVFJ8p-Y9mGY--exQeDszookcY0kfMh-Y&__tn__=%2CO%2CP-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Bouchard,WBTS/NBC,9/4/20,2020,September,MA,CM,2020FallPackage,CM,,"2020FallPackage_DaysAbove, 2020FallPackage_AvgT, 2020FallPackage_Map",Lisa,0,0,0,0,0,,,0,,1,5:04 PM,IQ,Found,114534,1734,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Bouchard,WBTS/NBC,9/9/20,2020,September,MA,CM,,CC,,,Kristie,1,0,0,0,0,Repost,,0,,0,,,,,,,1,0,0,,,,https://twitter.com/SeanSublette/status/1303723301039206403/retweets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
